track_id,track_name,artists
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,Don Toliver
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski
3xgA3KSsd8mt3UjQxNtQy3,Bajrang Baan-Lofi,Rasraj Ji Maharaj
6J4oLY2GEwOsUgEd50IpKy,Baarish Ka Asar,Twin Strings
0Qa9pTZLUC95wJCHGYMIg4,Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma"
7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,"Pritam, Arijit Singh"
4nEgdjc0SAQif5zH2U5clo,Panna Ki Tamanna Hai - New Age Mix,"Dixit Seth, Lata Mangeshkar, Kishore Kumar"
6OTfUkn4BwQtSnWvwO9vyR,Sooiyan,"Amit Trivedi, Chinmayi, Arijit Singh"
0FDz52AydSbKmGO3k6EMiS,"Crazy Kiya Re (From ""Dhoom:2"")","Pritam, Sunidhi Chauhan, Sameer Anjaan"
1hlbywc8Jhl1FFqJxAMabE,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
6okl6K7GqLehjY1my9CmdQ,Vichudo,Kinjal Dave
2p8IUWQDrpjuFltbdgLOag,After Hours,The Weeknd
5Y6nVaayzitvsD5F7nr3DV,West Coast,Lana Del Rey
1r27BKhp7yzevrOhHEncOk,Breathless Hanuman Chalisa,Shankar Mahadevan
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA"
7KmCQLSSde0UX5OqCgvGN9,ANTIDOTE,Karan Aujla
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Taylor Swift
0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,Anuv Jain
3dnWilTmmUPaIokFfaSoT3,"Ishq Mein - From ""Nadaaniyan""","Sachin-Jigar, Sachet Tandon, Asees Kaur, Amitabh Bhattacharya"
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,"Mithoon, Arijit Singh"
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake
5vPMSCWcc5niEpjhnhx35u,Intaha Ho Gai Intezar Ki,"Kishore Kumar, Asha Bhosle"
1fkjRQA8wXPPyxqYLbxuqy,Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal"
1zzejMGRYKP5XOa3FmzXfa,"Katchi Sera - From ""Think Indie""",Sai Abhyankkar
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,"21 Savage, Metro Boomin"
1lUskB61Guv9LkWSV9ycWe,Sajan Bin,"Shankar-Ehsaan-Loy, Shivam Mahadevan, Jonita Gandhi"
5JVbvCHX10U2pLa5DEqGav,Safe and Sound,Capital Cities
67oNO9GjcDn7NO08lg08jj,Tenu Sang Rakhna,"Achint, Arijit Singh, Anumita Nadesan, Varun Grover"
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage"
0EVu5oKg2UOwOyV0cMlTST,"Kuchh Khaas (From ""Fashion"")","Mohit Chauhan, Neha Bhasin"
4odiyU3myG29Ld0wurMfE8,She Doesn't Mind,Sean Paul
5fBghXeYCGIEVuExKytoJ9,Fell For You,Shubh
1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,"Lehmber Hussainpuri, Raj Shekhar"
2nNaw1QUcqiEX6pBFxcpp3,Marjaani,"Pritam, Sukhwinder Singh, Sunidhi Chauhan, Gulzar"
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis"
1VZ4UzU6Zmg8ZAmcOcKNi3,Dhoop Ke Makaan,"Vishal-Shekhar, Shekhar Ravjiani, Sunidhi Chauhan"
3lQPwCmD918SyoiIkw1zqx,Sifar Safar,Karan Aujla
2S7RApTsKT0CtYojYq2cKz,L'italiano,Toto Cutugno
6D8y7Bck8h11byRY88Pt2z,Houdini,Dua Lipa
2mdwuBtT1alepau9g6GwnC,O Beliya,Darshan Raval
71E5AhD1fWai0MpiTTHwtP,Bol Valam Na,Ishani Dave
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen"
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars"
5duDIyneopwByLL0870i7c,"Chandaliyo Ugyo Re - From ""Naadi Dosh""","Aishwarya Majmudar, Kedar - Bhargav"
2BpB7CCjoJfmPNncvxt3Ai,Mara Ghat Ma Birajta Shrinathji,Aishwarya Majmudar
432leZkBmxF6si4ftPOOdn,Ghar More Pardesiya (Kalank),"Pritam, Shreya Ghoshal"
5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,"Atif Aslam, Jyotica Tangri"
5yYgGkyYJmmSwRp3caFplJ,Radha,"Pritam, Shahid Mallya, Sunidhi Chauhan"
02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,"Kalyanji-Anandji, Kishore Kumar"
4RoKNqyZ9622tcAeNPNv5k,City Boys,Burna Boy
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,Travis Scott
6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott),"Metro Boomin, Travis Scott"
3OxL6MuctgZp1e0zxoAZhH,Young Metro,"Future, Metro Boomin, The Weeknd"
4LMlVCXHJtCE9abhmn0mYo,Pal Pal,"Afusic, AliSoomroMusic"
69qKVdIkwx1LPb6TTyHzJO,Radhe Radhe Barsane Wali Radhe,Vipul
75OSVIdR2KPpEmViMt8MX2,Pal Pal (with Talwiinder),"Afusic, Talwiinder, AliSoomroMusic"
0TNB0RJsCi4WmeYtRqyAdt,Game,"Shooter Kahlon, Sidhu Moose Wala"
5PdLhmHOy2dnnFIMrj8in0,So High,Sidhu Moose Wala
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake
1zi7xx7UVEFkmKfv06H8x0,One Dance,"Drake, Wizkid, Kyla"
3tgdOveYac7YMEAQD9sGLf,Bulleya,"Vishal-Shekhar, Papon, Irshad Kamil"
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo
0zHr3JEWjGmpWaVZduvGcu,"Matargashti (From ""Tamasha"")",Mohit Chauhan
665b3Nss3OQmhTUdB5hBXw,Bheegi Si Bhaagi Si,"Pritam, Mohit Chauhan, Antara Mitra"
45PA9lW7U5LYnlpGrdTyHY,Sang Rahiyo,"Jasleen Royal, Ujjwal Kashyap"
4dPeCbg2Op44s9kwyMS3ZT,Sadka,"Vishal-Shekhar, Suraj Jagan, Mahalakshmi Iyer"
1gEHNfJRSXpDVaEicwRRfe,Zinda,Amit Trivedi
21WGzPtMAh0JaU96gGsADC,Gurbani,"Shankar-Ehsaan-Loy, Daler Mehndi"
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan
5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie"
3zAXHUL5YcYOA41rruvjy4,Manchala,"Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant"
7cgj3hMlNQmgyg9qSxWipt,Chandaliyo Ugyo Re,"Aishwarya Majmudar, Kedar - Bhargav"
0joXv5niso2T8YXWOlIe1X,Titli,"Vishal-Shekhar, Chinmayi, Gopi Sundar"
2XYyriLyJSuGj4FN7QoNmM,Khudaya Khair,"Pritam, Soham Chakraborty, Akriti Kakar, Monali Thakur, Gulzar"
6VOKUdxhjSwbjinKbguOmy,Achha Lagta Hai,"Shankar-Ehsaan-Loy, Mohit Chauhan, Shreya Ghoshal, Neuman Pinto"
0O84iaC2acwIjeopsFIS6w,"Tenu Sang Rakhna (From ""Jigra"")","Achint, Arijit Singh, Anumita Nadesan, Varun Grover"
5BQePe9rcCJozHK3oPayYk,MVP,Shubh
7KQdgW7QzNd9oPoCzjCU76,Bandana,Shubh
4v5kAh2wWyCSuKuhMJK8u6,Long Way 2 Go,Cassie
0l1ANIJeVg43nyJLOEl7NP,ALL EYES,"TWXN, LL Clawz, 507KAZ"
0qQ4IdhjzNr0gJhdMTf2n3,"O Maahi (From ""Dunki"")","Pritam, Arijit Singh, Irshad Kamil"
1LmN9SSHISbtp9LoaR5ZVJ,Payphone,"Maroon 5, Wiz Khalifa"
52gvlDnre9craz9dKGObp8,La La La,"Naughty Boy, Sam Smith"
4XTgFBxBHN6var1BzAgE1m,Jhol,"Maanu, Annural Khalid"
4oHQ8n9OKQ3599e8noCrDX,I Think They Call This Love,Elliot James Reay
0Kd2IhGYGYrOATgOOnDBzI,Kuch To Hua Hai,"Shankar-Ehsaan-Loy, Alka Yagnik, Shaan"
55fSZWdcvMPJga3LbiV8jN,Noor E Khuda,"Shankar-Ehsaan-Loy, Adnan Sami, Shankar Mahadevan, Shreya Ghoshal"
5SWnsxjhdcEDc7LJjq9UHk,Runnin,"21 Savage, Metro Boomin"
2DUusIK6lzONv18y64xEDD,Panna Ki Tamanna Hai - New Age Mix,"Lata Mangeshkar, Kishore Kumar, R. D. Burman, Anand Bakshi, Dixit Seth"
7gl8XJ8EmiObfSFppTATt6,Twist,"Neeraj Shridhar, Pritam"
3E2alxlOoe5EURfec217Uu,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]","Lothika, Sublahshini, Devi Sri Prasad, Raqueeb Alam"
46ofwvDbks8GpQoLxGVD0o,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]","Sublahshini, Devi Sri Prasad, Chandra Bose"
4jigZPtP8wuNy2vnQw7dUn,"Ishq Mein (From ""Nadaaniyan"")","Sachin-Jigar, Sachet Tandon, Asees Kaur, Amitabh Bhattacharya"
0se928CIhZPlfVGi3A6zrx,Crazy Kiya Re,"Pritam, Sunidhi Chauhan, Sameer Anjaan"
4vHRQnzGcKEtqsLH70tAms,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir"
2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,"Lil Tecca, Juice WRLD"
6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Labrinth
5e0b9LgOfi3aJSKXFcOWRe,Beanie,Chezile
0TAmnCzOtqRfvA38DDLTjj,Little Things,One Direction
0s9Rh73nBce2twJtTLGz1P,Diwana Hua Badal,"Asha Bhosle, Mohammed Rafi"
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen"
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey
1wHZx0LgzFHyeIZkUydNXq,Antidote,Travis Scott
6eVk7jmEp8aObKsjZwkaCe,Intaha Ho Gai Intezar Ki,"Kishore Kumar, Asha Bhosle"
6H7fLdt0AeWpuxUKXuXWrx,Shree Hanuman Chalisa,Hariharan
7yyCCfalLx9F8TbMo5jH03,Bajrang Baan-Lofi,Rasraj Ji Maharaj
4Dwn54BX0Y7OJ3MA5alESo,Kaal Bhairav Ashtakam,Avinash Gupta
4v6zvuotSEkMLH34yfS48W,Yamunashtakam,Nidhi Dholakia
7Fio2kWwwnzpadwy7jl09W,Sunderkand-Lofi,Rasraj Ji Maharaj
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan
